Hip angle from the stand-up ramp through the hold, per cycle.
t is seconds relative to hold_t0 (when the runner's demo poll returned).
Commanded stance hip = +20.87 deg. nan = implausible read, dropped.

=== cycle 1 ===
  t_rel L0      L1      L2      L3      L4      L5     
  -1.77 21.45   21.53   20.92   21.09   20.92   20.83  
  -1.30 21.45   21.53   20.92   21.09   20.92   20.83  
  -1.16 21.45   21.53   21.01   21.09   20.92   20.83  
  -0.64 21.45   21.53   21.01   21.09   20.92   20.83  
  -0.14 21.45   21.53   21.01   21.09   20.92   20.83  
   0.03 21.45   21.53   21.01   21.09   20.92   20.83  
   0.37 21.45   21.53   21.01   21.09   20.92   20.83  
   0.90 21.45   21.53   20.92   21.09   20.92   20.83  
   1.37 21.45   21.53   20.92   21.09   20.92   20.83  
   1.71 21.45   21.53   20.92   21.09   20.92   20.83  
   1.88 21.45   21.53   20.92   21.09   20.92   20.83  
   2.41 21.45   21.53   21.01   21.09   20.92   20.83  
   2.82 21.45   21.53   21.01   21.09   20.92   20.83  
   3.35 21.45   21.53   20.92   21.09   20.92   20.83  
   3.85 21.45   21.53   20.92   21.09   20.92   20.83  
   4.35 21.45   21.53   21.01   21.09   20.92   20.83  
   4.72 21.45   21.53   21.01   21.09   20.92   20.83  
   4.87 21.45   21.53   20.92   21.09   20.92   20.83  
   5.34 21.45   21.53   21.01   21.09   20.92   20.83  
   5.79 21.45   21.53   20.92   21.09   20.92   20.83  
   6.27 21.45   21.53   21.01   21.09   20.92   20.83  
   6.82 21.45   21.53   21.01   21.09   20.92   20.83  
   7.28 21.45   21.53   21.01   21.09   20.92   20.83  
   7.74 21.45   21.53   21.01   21.09   20.92   20.83  
   8.35 21.45   21.53   21.01   21.09   20.92   20.83  
   8.89 21.45   21.53   20.92   21.09   20.92   20.83  
   9.31 21.45   21.53   21.01   21.09   20.92   20.83  
   9.79 21.45   21.53   20.92   21.09   20.92   20.83  
  10.26 nan     21.53   21.01   21.09   20.92   20.83  
  10.75 21.45   21.53   20.92   21.09   20.92   20.83  
  10.78 21.45   21.53   21.01   21.09   20.92   20.83  
  11.43 21.45   21.53   20.92   21.09   20.92   20.83  
  11.93 21.45   21.53   20.92   21.09   20.92   20.83  
  12.38 21.45   21.53   21.01   21.09   20.92   20.83  
  12.91 21.45   21.53   20.92   21.09   20.92   20.83  
